question,a,b,c,d,ANSWER
Mean for data: classes 20-29(f=4) 30-39(f=6) 40-49(f=14) 50-59(f=7) 60-69(f=3).,44.21,43.21,45.21,42.21,A
Mode for data: classes 20-29(f=4) 30-39(f=6) 40-49(f=14) 50-59(f=7) 60-69(f=3).,44.83,43.83,45.83,42.83,A
Ahmad approaches 30 people with P(sale) = 0.04. Find P(at least 2 sales).,0.3388,0.2388,0.4388,0.1388,A
Traffic accidents follow Poisson with mean = 4 per month. Find P(X < 2) next month.,0.0916,0.1916,0.0416,0.1416,A
9 balls selected with replacement from box of 8 red 7 yellow 5 blue. Find P(5 <= X <= 7) where X = red balls.,0.2628,0.1628,0.3628,0.0628,A
Normal dist: mean = 7hrs variance = 4. Find P(4 < X < 6) hours of computer usage per day.,0.2417,0.1417,0.3417,0.0417,A
Toll free line receives average 0.5 calls per minute. Find P(2 < X < 6) over 3 minutes.,0.1867,0.2867,0.0867,0.3867,A
Find P(2 tails and 1 head) when a fair coin is tossed 3 times.,03-Aug,01-Aug,05-Aug,07-Aug,A
Standard deviation of time spent in library: mean = 35.75 minutes from 12 data points. Mode = 38. What is the median?,38,35.75,37,36,A
Find the coefficient of x^5 in the expansion of (6 - 2x)^6.,192,-192,96,-96,B
Express 0.0025 repeating as a fraction.,1/396,1/496,1/296,1/596,A
Find P(M | A) where 5 students in class A like Math out of 10 total in class A.,01-Feb,01-Mar,01-Apr,02-Mar,A
Poisson dist with lambda = 4 (two weeks). Find P(exactly 3 properties sold in two weeks).,0.1954,0.2954,0.0954,0.3954,A
