question,a,b,c,d,ANSWER
"Which modal verb best completes: Ethical considerations ___ guide AI integration into patient care to prioritise safety.",can,will,must,might,C
"Which modal verb best completes: Financial institutions ___ leverage AI for fraud detection because algorithms have proven their ability.",can't,may,might,ought to,D
"Which modal verb best completes: In transportation AI ___ revolutionise mobility through autonomous vehicles.",can,must,had better,has to,A
"Which modal verb best completes: AI-powered educational tools ___ adapt teaching methods in real-time.",could,must,should,ought to,A
"Which modal verb best completes: Educators ___ ensure AI complements rather than replaces human interaction in learning.",might,must,could,had better,B
"Which modal verb best completes: While AI ___ deliver significant benefits its responsible development must be guided by ethical principles.",can,might,should,has to,A
"A dangling modifier is best described as:",A modifier placed too far from the word it modifies.,A modifier that has no logical subject to modify in the sentence.,A modifier that modifies the wrong noun in the sentence.,A modifier used incorrectly with a verb.,B
"A misplaced modifier is best described as:",A modifier that has no logical subject to modify.,A modifier placed too far from or too close to the wrong word it modifies.,A modifier that contradicts the main clause.,A modifier that is missing from the sentence.,B
"Which sentence contains a dangling modifier?",The chef cooked the meal carefully.,Walking through the park the flowers were beautiful.,She quickly finished the assignment.,The manager approved the report after reviewing it.,B
"Which sentence contains a misplaced modifier?",He only eats vegetables on Mondays.,She carefully read the letter from her friend.,The dog barked loudly at the stranger.,They completed the project on time.,A
"Which sentence is correct?",Covered in mud the car was washed by John.,Covered in mud John washed the car.,The car was washed covered in mud by John.,John the car washed covered in mud.,B
"Which sentence is correct?",To improve your writing you should practice daily.,To improve your writing daily practice should be done.,Daily practice to improve your writing should be done.,Your writing to improve you should practice daily.,A
"Which sentence is correct?",Having studied all night the exam was passed by Maria.,Having studied all night Maria passed the exam.,The exam was passed by Maria having studied all night.,Maria the exam passed having studied all night.,B
"Which sentence contains a faulty modifier?",The teacher explained the lesson clearly to the students.,Barking loudly the neighbor complained about the dog.,She submitted the assignment before the deadline.,The manager scheduled a meeting for the entire team.,B
"Which modal verb expresses certainty about the future?",might,could,will,may,C
"Which modal verb expresses past ability?",would,could,should,must,B
"Which modal verb expresses obligation or necessity?",might,can,must,would,C
"Which modal verb expresses possibility in the present?",will,must,should,might,D
"Which modal verb expresses advice or recommendation?",must,will,should,could,C
"Which sentence uses a modal verb correctly?",She can finished the report by noon.,He must to attend the meeting.,They should submit their assignments on time.,We might going to the conference.,C
"Which sentence uses a modal verb correctly?",You ought submit the form today.,He could solves the problem easily.,She would have attended if she had known.,They must to leave immediately.,C
"Which modal verb best expresses a polite request?",must,will,could,should,C
"Which sentence correctly uses MUST NOT?",You must not to enter the restricted area.,You must not enters the restricted area.,You must not enter the restricted area.,You must not entered the restricted area.,C
"Which sentence correctly uses SHOULD HAVE?",She should have submitted the report yesterday.,She should has submitted the report yesterday.,She should have submit the report yesterday.,She should had submitted the report yesterday.,A
"Which modal verb is used for habitual past actions?",could,would,should,might,B
"Choose the correct sentence about a dangling modifier.",After eating dinner the dishes were washed by Tom.,After eating dinner Tom washed the dishes.,The dishes were washed after eating dinner by Tom.,Tom after eating dinner the dishes were washed.,B
"Choose the correct sentence about a misplaced modifier.",She almost drove her children to school every day.,She drove her children to school almost every day.,Almost she drove her children to school every day.,She drove almost her children to school every day.,B
"Which sentence has NO modifier error?",Running through the park my shoes got wet.,Running through the park I got my shoes wet.,My shoes running through the park got wet.,Got wet running through the park were my shoes.,B
"Which sentence has NO modifier error?",To succeed in business hard work is required.,To succeed in business you need to work hard.,Hard work is required to succeed in business you must.,You to succeed in business must work hard.,B
"Which modal verb best fits: He ___ speak three languages when he was young.",can,will,could,should,C
"Which modal verb best fits: You ___ see a doctor if the pain continues.",must,might,should,would,C
"Which modal verb best fits: It ___ rain later so bring an umbrella.",might,must,will,should,A
"Which modal verb best fits: Students ___ submit their assignments by Friday.",must,might,could,would,A
"Which modal verb best fits: She ___ have called before coming over.",should,must,will,can,A
"Which sentence correctly identifies the modifier error? 'Tired after the long journey the bed looked very inviting.'",No error — the modifier is correct.,Dangling modifier — the bed was not tired.,Misplaced modifier — tired is in the wrong place.,The sentence has a verb error not a modifier error.,B
"Which sentence correctly uses CAN to express ability?",She can to swim very fast.,She can swims very fast.,She can swim very fast.,She cans swim very fast.,C
